community,avg_inner_edge_weight
261397,2.166666667
232346,4
98666,2.666666667
66349,2.666666667
54049,2.9375
149644,3
459908,2
293911,2.5
360392,3
197598,2
389506,3
57449,2
86563,3.666666667
34867,3.5
267345,2
669149,2
1462959,2
200209,2
901690,1.666666667
63263,2
21912,2.5
602802,2
328910,2.75
162913,2.333333333
25967,4.571428571
258508,2.75
95714,3.857142857
232660,2.285714286
657046,2
66663,2.6
354103,2.5
54363,2
80211,3.181818182
837891,2
162258,2
25312,6.428571429
563999,2
372154,2
232005,2
95059,2
633746,2
219705,2.72
27860,2
426398,2
156624,3.111111111
130776,2.5
360051,7.333333333
392368,2
60311,4.133333333
89425,1.666666667
621643,2.333333333
155906,2.75
19023,2
251501,2.533333333
362599,2.2
391713,1.772727273
365865,2
254767,2
898083,2
59656,2.333333333
650039,2.333333333
85504,3
18305,1.826086957
158517,3
21571,2.638554217
232319,2.7
656705,4.5
490645,2
605009,3
1029395,2
216816,7
79870,2.571428571
54022,3.8
24971,2.411764706
426712,2
286563,2
260715,2
685101,2
94718,2
353044,3
493256,3.375
245212,3.125
193516,4.5
27519,2
592054,2
123114,1.888888889
12016,2.428571429
525707,2
362913,3.666666667
85818,3.090909091
59970,3.285714286
595454,3
292511,2.5
155565,2
44467,3
158831,3.40625
1118638,3
225312,2.6
114214,3
254426,2
228578,2
1162537,2
490170,2
457853,2.25
324173,2.285714286
693597,2
17964,6
582499,2.333333333
21230,2.2
116825,2.625
486249,2
50415,2.8
53681,2.87012987
146010,3.9
175124,2
521966,4
355969,2
920504,2
1662618,2
314618,3
151824,2.4
11675,2.95
384365,2.8
40071,2.466666667
665515,6
184275,2.333333333
155224,2.6
18278,2
47392,3.428571429
305718,3.666666667
390968,2.555555556
416816,2.142857143
279870,2
250819,3.857142857
113873,2
623509,2
117139,2
792772,2
375465,2
183620,2
46674,2.25
157772,2.5
17623,2
142269,2.852941176
282481,2
116421,2
792054,2
480929,2
285818,2.5
426030,2
821302,2
687622,2
1057046,2
779951,2.333333333
215416,2
192834,2
477008,2
451160,1.833333333
1525331,2
148217,7
177331,2
262581,3
151483,2.4
14537,3.769230769
686967,2
11334,1.875
217964,5
110132,2.170212766
81081,3.666666667
645616,3
10616,2.411764706
457826,2
320880,4
183934,3
17937,4.5
390627,2.25
142583,2
113532,3
623168,2
349276,3.5
212330,2
884760,2
72181,3.208333333
183279,2.6
49599,3.5
17282,3
581817,3
419023,2
282077,2.4
278874,2.166666667
141928,2.266666667
4982,2.25
185827,4.538461538
74729,2.235294118
447419,2
74792,2.5
307270,2
288743,2
11648,2.386363636
1056705,2
381072,3.666666667
273240,2.5
247392,3
78129,2.967741935
107243,4.4
81395,3.428571429
10930,2.666666667
40044,2.416666667
14196,3.052631579
383620,2
106525,4.5
246737,2.636363636
80677,2.509433962
948218,2
83943,2.6
109791,2
453367,2
176272,2
42592,3.086956522
10275,2
13541,2.625
138187,8
279188,2.666666667
142242,2
540780,2.5
514932,2
348935,2
211989,2
884419,2.333333333
307584,3
333432,2
278533,2
252685,3.666666667
791372,4
4641,2.2
115739,1.733333333
30489,2.066666667
380597,3.666666667
100236,2.706896552
48540,2
77654,3
982562,2
144135,7
845616,2
7189,2.727272727
1620899,2
243785,2
106839,2.333333333
645589,2
176586,2.451612903
36437,3.571428571
39703,4.285714286
13855,4
1084760,2
409127,2
246333,1.8
275447,2
386545,2
83602,4
109450,3
175931,2.4375
877412,2
714618,3.333333333
38985,2
68099,2
42251,4.375
440789,2
137846,2.25
1349752,2
237496,2
913129,2
74702,2.545454545
71499,2.75
45651,2.333333333
610186,3
584338,3
303977,2
307243,3.666666667
333091,2
170297,2
281395,2.8
376990,2.166666667
74047,3.142857143
169642,2.5
6848,2.461538462
143794,3
128291,3.304347826
102443,2
342242,2
