"name","num_pubs_pre","avg_PR_pre","max_PR_pre","median_PR_pre","num_pubs_post","avg_PR_post","max_PR_post","median_PR_post"
"Nicola Waddell","1","1.3225495000000003","1.3225495000000003","1.3225495000000003","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Robert J. Phipps","6","1.9343738333333331","4.172046999999999","1.2609542500000002","1","0.18038750000000003","0.18038750000000003","0.18038750000000003"
"Bernhard Krismer","1","0.366835","0.366835","0.366835","2","0.4291995","0.703503","0.4291995"
"Hs Rugo","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","2","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Julian Engel","3","0.18681350000000005","0.22827650000000002","0.17298400000000003","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Sagi D. Shapira","1","1.4801139999999997","1.4801139999999997","1.4801139999999997","1","0.3639535","0.3639535","0.3639535"
"Anders Hogner","1","0.459094","0.459094","0.459094","1","0.20147600000000002","0.20147600000000002","0.20147600000000002"
"Po-Hao Feng","3","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Vasco Liberal","2","0.19958475000000003","0.24916950000000002","0.19958475000000003","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Annarita Miccio","2","0.40376750000000006","0.41945000000000005","0.40376750000000006","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Zhiwei Zuo","6","0.59210625","1.167705","0.6074105","1","0.15623900000000002","0.15623900000000002","0.15623900000000002"
"Marc T. Nishimura","4","0.6811820000000001","2.1037420000000004","0.22817875000000004","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Helgi I. Ingólfsson","1","0.45276999999999995","0.45276999999999995","0.45276999999999995","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Justin S. Sadhu","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"John Moxley","1","0.7511880000000001","0.7511880000000001","0.7511880000000001","1","2.979106","2.979106","2.979106"
"Moran Amit","3","0.15035700000000002","0.151071","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Hyung-Bae Kwon","2","0.45160975","0.7050839999999999","0.45160975","2","0.15468350000000003","0.159367","0.15468350000000003"
"Seung‐Wook Chi","1","0.9927155","0.9927155","0.9927155","1","0.154811","0.154811","0.154811"
"Karoline V. Gleixner","14","0.23656764285714285","1.0037485","0.1514705","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Samira Lakhal-Littleton","2","0.18729375000000004","0.22458750000000005","0.18729375000000004","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Lech-Gustav Milroy","1","0.15532100000000004","0.15532100000000004","0.15532100000000004","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Folkert J. van Werven","3","0.3466815000000001","0.4235725000000001","0.32537200000000005","1","0.16400800000000001","0.16400800000000001","0.16400800000000001"
"J-M Classe","2","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Vasily Aushev","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Holger Helten","1","0.29132100000000005","0.29132100000000005","0.29132100000000005","7","0.15938278571428574","0.1876295","0.15717400000000004"
"Eric S. Calhoun","1","0.6422860000000001","0.6422860000000001","0.6422860000000001","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Kerstin Stingl","2","0.2526885","0.308712","0.2526885","1","0.15442000000000003","0.15442000000000003","0.15442000000000003"
"Krzysztof P. Bzymek","1","0.29128699999999996","0.29128699999999996","0.29128699999999996","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Lossos Is","1","1.199019","1.199019","1.199019","1","0.17231250000000004","0.17231250000000004","0.17231250000000004"
"Shenhav Cohen","4","0.468344125","1.2384845","0.24244600000000005","1","0.1570805","0.1570805","0.1570805"
"Yanhong Liao","5","0.6195383000000001","0.8605405","0.567469","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Moshe Dessau","2","0.23278575","0.253666","0.23278575","1","0.15489600000000003","0.15489600000000003","0.15489600000000003"
"Shane P. Herbert","5","0.3391369","0.8496095","0.21817000000000003","1","0.1740635","0.1740635","0.1740635"
"Raven J. Reddy","1","0.156069","0.156069","0.156069","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Kwok-On Lai","2","0.235867","0.3146195","0.235867","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Yoshimi Arima","7","0.30584021428571434","0.7053050000000001","0.15000000000000002","2","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Jason M. Tennessen","1","0.3814805","0.3814805","0.3814805","1","0.15154700000000002","0.15154700000000002","0.15154700000000002"
"Eriko Tokunaga","2","0.15000000000000002","0.15000000000000002","0.15000000000000002","2","0.15000000000000002","0.15000000000000002","0.15000000000000002"
