last_author_yr,last_author_yr_val,unique_coauthor_profs,unique_coauthor_profs_exp_damp,unique_coauthor_profs_exp_damp_val,unique_coauthor_profs_lin_damp,unique_coauthor_profs_lin_damp_val,unique_coauthor_profs_sqrt_damp,unique_coauthor_profs_sqrt_damp_val,unique_coauthor_profs_square_damp,unique_coauthor_profs_square_damp_val,unique_coauthor_profs_val
Alan Jamison,2017,Alberto Potenza,Don M. Yost,1.317591685865242,Yik Ying Teo,113.338832619993,Yik Ying Teo,296.61261710194384,Nabeel Bardeesy,48.965291074275605,3375
Dayane Gabriele Alves Silveira,2017,F. M. Stober,Gary K. Schoolnik,1.316582081326653,Fredrick R. Schumacher,113.1495400908642,Anneli Pouta,294.5738559104018,Dharminder Chauhan,48.810198253476116,3375
Guilan Fan,2017,G. Karapostoli,David G. Whitten,1.3059830025739128,Holbrook Kohrt,113.05360668717772,Mari Nelis,294.3736725806625,Raoul Tibes,48.78936105502578,3375
Marco Della Peruta,2017,F. De Guio,Brian M. Hoffman,1.3036307840232837,Alexander Teumer,112.9723371057259,Marika Kaakinen,293.4474679698428,Pier Paolo Piccaluga,48.61408187073658,3375
H. Tatsuno,2017,D. Puigh,John I. Brauman,1.2923932449864863,Andre Franke,112.60751995710791,Hailei Zhang,293.02688671368423,Andre Goy,48.50600002788482,3375
Bryan W. Day,2017,Mia Tosi,La Mar Gn,1.2869903876626956,Felicitas Thol,111.66385220989919,Murim Choi,292.1001736082679,Levi A. Garraway,48.27873034480545,3375
Jannick Prentoe,2017,I. Svintradze,Atta M. Arif,1.2844238043201586,Elli Papaemmanuil,111.62209438178728,al. et,290.57331678135995,Emad S. Alnemri,48.25493202502672,3375
Fengdong Cheng,2017,F. J. Munoz Sanchez,Stanley J. Robboy,1.2686747487739616,Jacob P. Laubach,111.29080598650124,Cristen J. Willer,290.511102099077,Thomas S. Lin,48.16566754200112,3375
Sabine Abb,2017,D. Hits,Harlan L. Goering,1.2574149687628284,Pier Paolo Piccaluga,111.24246368894836,Nils Gehlenborg,289.91469987238565,Jeffrey A. Engelman,48.12037150996061,3375
Gregory Neveu,2017,J. Turkewitz,Jeffrey Mervis,1.2441047079992642,Marc Remke,110.55659118837308,I. Chakaberia,282.9569300997393,Nathan Fowler,47.29280306358443,3375
